date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:37:50	246/246	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Apr%202017%2014:07:47%20GMT	https://p.w3layouts.com/robots.txt		(from )
19:37:50	22127/22127	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Apr%202017%2014:07:47%20GMT	https://p.w3layouts.com/demos/luxury_watches/web/	C:/Users/SAVVYITSOL/Desktop/Watch/watch/p.w3layouts.com/demos/luxury_watches/web/index.html	(from )
19:37:51	141622/141622	---MCZ	200	added ('OK')	text/css	etag:W/%22d40ae7-22936-5242cb7d67740%22	https://p.w3layouts.com/demos/luxury_watches/web/css/bootstrap.css	C:/Users/SAVVYITSOL/Desktop/Watch/watch/p.w3layouts.com/demos/luxury_watches/web/css/bootstrap.css	(from https://p.w3layouts.com/demos/luxury_watches/web/)
19:37:51	96381/96381	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d40b67-1787d-5242cb9bebf40%22	https://p.w3layouts.com/demos/luxury_watches/web/js/jquery-1.11.0.min.js	C:/Users/SAVVYITSOL/Desktop/Watch/watch/p.w3layouts.com/demos/luxury_watches/web/js/jquery-1.11.0.min.js	(from https://p.w3layouts.com/demos/luxury_watches/web/)
19:37:51	55074/55074	---MCZ	200	added ('OK')	text/css	etag:W/%22d40b12-d722-5242cb7f4fbc0%22	https://p.w3layouts.com/demos/luxury_watches/web/css/style.css	C:/Users/SAVVYITSOL/Desktop/Watch/watch/p.w3layouts.com/demos/luxury_watches/web/css/style.css	(from https://p.w3layouts.com/demos/luxury_watches/web/)
19:37:52	25764/25764	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d40b6c-64a4-5242cb9ec8600%22	https://p.w3layouts.com/demos/luxury_watches/web/js/simpleCart.min.js	C:/Users/SAVVYITSOL/Desktop/Watch/watch/p.w3layouts.com/demos/luxury_watches/web/js/simpleCart.min.js	(from https://p.w3layouts.com/demos/luxury_watches/web/)
19:37:52	5755/5755	---MCZ	200	added ('OK')	text/css	etag:W/%22d40b0c-167b-5242cb7d67740%22	https://p.w3layouts.com/demos/luxury_watches/web/css/memenu.css	C:/Users/SAVVYITSOL/Desktop/Watch/watch/p.w3layouts.com/demos/luxury_watches/web/css/memenu.css	(from https://p.w3layouts.com/demos/luxury_watches/web/)
19:37:52	1254/1254	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d40b6a-4e6-5242cb9ce0180%22	https://p.w3layouts.com/demos/luxury_watches/web/js/memenu.js	C:/Users/SAVVYITSOL/Desktop/Watch/watch/p.w3layouts.com/demos/luxury_watches/web/js/memenu.js	(from https://p.w3layouts.com/demos/luxury_watches/web/)
19:37:53	12390/12390	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d40b68-3066-5242cb9bebf40%22	https://p.w3layouts.com/demos/luxury_watches/web/js/jquery.easydropdown.js	C:/Users/SAVVYITSOL/Desktop/Watch/watch/p.w3layouts.com/demos/luxury_watches/web/js/jquery.easydropdown.js	(from https://p.w3layouts.com/demos/luxury_watches/web/)
19:37:54	10571/10571	---MCZ	200	added ('OK')	application/javascript	etag:W/%22294b-544d1d2642384%22	http://cdn.fancybar.net/ac/fancybar.js?zoneid=1502&serve=C6ADVKE&placement=w3layouts	C:/Users/SAVVYITSOL/Desktop/Watch/watch/cdn.fancybar.net/ac/fancybar6a2f.js	(from https://p.w3layouts.com/demos/luxury_watches/web/)
